sessionMedium,sessionSource,date,deviceCategory,fullPageUrl,pageReferrer,country,eventName,isKeyEvent,activeUsers,keyEvents
cpc,google,2024-07-17,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),475,0
cpc,google,2024-07-30,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),269,0
cpc,google,2024-07-17,mobile,eadic.in/mbimindi/,https://www.livehindustan.com/,India,page_view,(not set),181,0
cpc,google,2024-07-18,mobile,eadic.in/mbimindi/,https://job.faydaworld.com/,India,page_view,(not set),177,0
cpc,google,2024-07-20,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),170,0
cpc,google,2024-07-19,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),166,0
cpc,google,2024-07-31,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),161,0
cpc,google,2024-07-29,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),158,0
cpc,google,2024-07-16,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),145,0
cpc,google,2024-07-17,mobile,eadic.in/mbimindi/,https://www.jansatta.com/,India,page_view,(not set),111,0
cpc,google,2024-07-18,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),108,0
cpc,google,2024-07-17,mobile,eadic.in/mbimindi/,https://job.faydaworld.com/,India,page_view,(not set),96,0
cpc,google,2024-07-19,mobile,eadic.in/mbimindi/,https://job.faydaworld.com/,India,page_view,(not set),96,0
cpc,google,2024-07-30,mobile,eadic.in/mbimindi/,https://subodhbabu.com/,India,page_view,(not set),76,0
cpc,google,2024-07-17,mobile,eadic.in/mbimindi/,https://www.jobkaka.com/,India,page_view,(not set),75,0
cpc,google,2024-07-23,mobile,eadic.in/mbiminda/,https://jobidea.in/,India,page_view,(not set),68,0
cpc,google,2024-07-24,mobile,eadic.in/mbimindi/,https://googleads.g.doubleclick.net/,India,page_view,(not set),66,0
